OC_ANO,OC_MES,OC_DIA_SEMANA,OC_DIA,OC_PERIODO_DIA,OC_BAIRRO,OC_SUBCATEGORIA
2016,3,1,20,3,15,5
2019,1,3,29,4,12,1
2019,11,4,6,3,35,7
2015,7,1,19,2,23,9
2020,12,5,3,2,5,9
2015,9,5,24,3,25,9
2017,5,5,11,3,23,9
2019,2,6,1,4,30,7
2017,5,7,27,3,30,4
2017,3,1,12,3,21,3
2016,8,4,24,3,5,9
2016,5,6,27,2,41,6
2020,8,6,7,2,26,10
2020,6,3,2,4,12,5
2015,4,4,22,3,25,3
2015,5,4,13,3,54,7
2020,3,5,26,3,12,5
2015,3,3,24,2,9,2
2015,5,6,1,4,25,1
2020,6,6,12,3,13,10
2018,1,7,27,4,25,3
2016,11,1,6,3,61,1
2018,7,5,12,2,32,9
2020,10,1,11,3,9,10
2015,6,7,27,3,11,1
2020,8,1,23,2,30,4
2015,5,2,11,3,35,5
2019,6,7,1,3,12,1
2016,11,5,24,2,5,9
2020,3,6,13,1,69,10
2020,10,2,5,2,28,10
2015,9,4,9,4,23,4
2020,9,3,8,3,38,10
2017,5,3,30,2,9,1
2020,9,3,1,1,5,2
2020,12,4,2,1,29,7
2018,11,5,15,2,5,9
2019,7,2,8,4,5,5
2015,4,3,7,2,9,9
2015,9,5,24,3,36,2
2020,5,4,20,1,22,10
2019,7,2,1,2,45,9
2020,3,7,21,3,55,10
2018,3,2,26,3,25,1
2019,8,5,29,3,5,4
2018,12,2,3,4,25,6
2020,4,1,12,2,12,6
2015,1,7,10,4,5,9
2018,2,7,10,3,8,5
2020,5,6,22,2,9,10
2015,5,6,22,3,5,1
2017,5,1,28,2,23,7
2020,5,4,27,3,28,10
2015,4,7,11,3,10,4
2020,7,5,23,2,5,9
2020,3,6,6,3,25,10
2020,9,3,15,2,2,7
2020,6,4,17,2,19,10
2015,3,7,28,4,68,9
2020,4,2,27,4,22,3
2018,12,1,30,3,69,7
2020,7,6,24,3,1,10
2015,7,7,4,3,5,1
2015,5,2,18,4,15,6
2015,5,4,20,3,58,1
2019,11,6,29,3,50,8
2015,12,2,7,2,8,4
2019,4,5,25,2,5,9
2018,3,5,22,2,52,9
2018,11,4,28,3,36,10
2017,8,3,8,3,21,6
2017,2,4,22,4,25,1
2019,3,3,5,2,5,9
2016,7,1,3,3,13,1
2016,1,5,14,2,5,9
2015,9,7,19,3,9,1
2017,2,4,22,1,5,9
2015,9,3,8,3,30,6
2019,12,6,13,1,30,9
2019,1,5,31,4,19,1
2018,11,6,23,3,1,6
2017,8,3,1,4,40,5
2016,5,5,5,1,28,5
2017,4,2,3,3,19,6
2015,6,1,7,4,59,5
2020,11,7,14,2,62,10
2020,12,5,10,3,16,10
2017,11,1,12,2,40,7
2016,1,3,26,2,19,6
2018,12,7,8,1,5,9
2017,1,7,7,4,12,7
2016,5,2,23,2,25,1
2017,5,7,27,2,9,7
2018,8,7,4,3,9,6
2017,9,2,4,4,9,1
2018,4,3,10,3,12,6
2020,5,2,25,3,15,10
2018,10,1,14,2,15,3
2015,3,7,21,4,23,4
2019,1,1,27,2,18,5
2015,8,1,23,4,9,6
2016,9,2,12,3,10,1
2017,3,4,1,4,2,4
2019,12,5,12,2,5,9
2019,2,7,2,1,1,7
2016,2,6,26,1,38,9
2016,6,5,16,4,9,3
2020,4,3,28,1,60,10
2016,5,7,14,3,3,3
2015,7,6,31,2,31,5
2020,5,7,30,1,15,10
2016,9,4,14,1,50,1
2020,11,6,20,2,23,9
2015,3,2,30,3,3,9
2020,3,7,7,3,23,9
2017,12,3,26,2,41,7
2020,12,3,29,2,66,9
2020,9,4,2,3,12,7
2015,1,1,18,2,28,8
2015,12,4,23,3,50,9
2016,9,1,18,1,13,1
2019,5,7,4,3,45,5
2016,5,4,18,3,59,1
2016,6,6,10,2,44,9
2020,6,3,9,2,30,7
2015,11,2,16,2,5,9
2015,3,2,9,1,8,6
2019,11,7,16,2,12,7
2017,2,1,12,2,19,1
2018,4,3,17,1,25,1
2020,4,7,18,1,5,10
2015,6,2,22,3,35,4
2015,2,6,20,4,58,2
2015,11,4,4,2,9,1
2016,1,1,31,3,50,8
2016,9,3,27,3,25,9
2017,10,1,1,2,9,7
2015,4,7,4,2,15,7
2018,5,5,3,3,30,9
2017,2,3,28,4,19,1
2020,4,5,2,1,4,10
2020,5,7,9,2,5,6
2016,2,2,22,3,9,1
2019,8,7,17,3,23,9
2016,1,2,18,3,17,4
2017,2,6,17,3,3,8
2015,7,6,3,3,39,1
2019,12,6,13,1,25,9
2020,1,1,12,3,19,4
2020,5,6,8,1,5,10
2020,9,5,10,3,55,10
2019,3,2,18,2,30,1
2015,11,7,7,2,18,8
2016,7,5,7,3,5,1
2019,2,3,19,1,20,10
2019,9,7,14,4,5,8
2015,1,7,17,4,27,4
2020,6,6,5,1,25,9
2020,3,7,14,2,25,10
2020,4,2,13,2,39,10
2018,7,6,20,2,6,5
2020,6,5,18,2,9,10
2015,11,6,13,3,28,1
2015,1,4,7,2,4,5
2019,6,7,29,2,21,10
2015,4,7,4,1,19,2
2015,3,1,15,1,3,5
2017,1,5,19,4,39,5
2016,7,6,22,3,1,1
2016,4,7,2,4,5,4
2019,4,2,22,2,5,1
2020,4,2,20,2,5,10
2019,9,7,28,2,4,7
2020,4,3,28,2,33,9
2020,4,5,30,4,8,6
2020,12,1,6,1,9,6
2019,1,1,27,4,9,6
2016,2,4,3,3,4,4
2020,8,7,22,2,18,5
2019,6,3,11,3,25,7
2019,1,1,27,2,18,7
2020,12,6,25,3,9,7
2018,11,7,3,3,47,4
2016,1,2,18,2,28,7
2018,6,4,20,2,45,10
2019,4,4,3,2,1,7
2020,9,5,17,3,41,10
2019,6,4,12,4,8,5
2015,4,4,8,3,25,6
2015,5,2,11,2,41,9
2020,9,7,5,4,18,4
2015,9,2,14,3,5,1
2018,9,7,1,2,25,6
2015,7,7,11,4,38,8
2020,3,2,9,2,30,4
2015,2,6,20,3,1,5
2018,6,7,16,3,41,9
2018,9,1,2,3,40,1
2017,9,7,23,2,5,9
2016,10,2,10,4,9,6
2020,2,7,29,2,58,1
2020,12,2,14,3,42,10
2020,9,3,1,3,9,10
2015,10,7,24,4,5,4
2019,10,5,10,4,25,6
2019,3,1,3,2,5,9
2018,6,3,19,4,69,6
2015,6,2,1,2,1,5
2018,11,6,2,4,30,3
2015,3,2,23,4,12,8
2018,8,7,18,4,64,5
2019,1,7,26,4,25,7
2020,9,3,15,3,13,7
2019,3,6,29,2,5,9
2015,4,4,22,3,5,1
2016,11,3,29,4,8,4
2015,8,1,9,3,43,1
2020,3,5,12,4,6,7
2020,7,3,7,2,27,10
2015,3,1,22,4,30,5
2019,12,1,29,2,40,10
2020,4,2,20,2,6,10
2019,12,7,28,3,39,10
2020,7,5,2,3,9,10
2018,9,3,18,1,53,1
2018,7,1,15,4,19,6
2015,4,4,22,3,7,1
2018,8,2,13,3,69,10
2016,6,7,25,3,29,5
2020,4,4,22,2,64,10
2018,7,5,12,1,38,9
2015,2,7,28,4,22,3
2016,11,6,11,2,24,9
2018,6,5,28,2,19,8
2018,10,6,19,2,31,4
2015,8,6,7,3,35,7
2016,9,7,24,3,32,4
2016,4,3,12,3,9,5
2016,4,2,18,3,12,1
2019,6,1,16,3,28,5
2020,9,1,27,2,39,10
2017,3,7,25,4,25,1
2019,4,5,25,2,54,9
2020,6,2,15,1,9,10
2016,10,5,27,3,59,1
2015,1,6,23,3,5,1
2017,10,1,29,4,9,6
2016,3,1,20,3,4,6
2015,3,7,28,4,5,4
2015,10,3,13,4,25,1
2020,9,2,21,1,23,4
2016,3,5,3,2,28,1
2019,3,2,4,4,53,5
2020,10,6,9,4,29,6
2016,2,4,3,4,23,9
2018,9,7,29,2,3,4
2017,8,6,4,3,3,1
2015,3,4,4,2,15,1
2017,1,6,20,2,23,9
2015,12,4,30,3,5,1
2016,4,5,28,3,9,4
2020,4,3,28,2,18,10
2018,5,1,6,3,25,9
2020,3,6,27,2,30,10
2017,2,2,13,3,12,4
2018,8,4,8,4,25,6
2017,7,1,30,2,73,4
2016,9,4,28,4,11,6
2017,10,3,24,4,25,5
2016,4,1,3,3,38,1
2020,9,7,19,2,8,10
2015,5,4,20,2,54,9
2020,4,4,15,3,2,5
2019,2,7,16,4,30,5
2020,1,5,2,1,40,1
2015,1,5,29,2,36,5
2020,10,2,12,3,15,10
2015,1,3,6,3,27,3
2015,3,6,13,3,5,4
2019,6,4,19,1,30,5
2020,9,7,26,3,5,8
2018,11,4,28,3,55,10
2018,1,5,25,3,33,5
2018,10,3,9,1,5,9
2016,5,6,13,2,46,1
2020,10,5,29,3,9,10
2020,10,1,11,2,47,10
2016,7,3,19,3,30,8
2015,5,1,17,2,23,9
2017,4,6,28,3,9,6
2017,5,7,27,3,4,3
2020,1,1,5,2,30,10
2016,6,6,24,3,5,4
2017,8,4,23,4,41,3
2015,1,1,11,3,4,4
2019,10,1,27,1,5,5
2020,3,6,20,2,25,9
2016,7,3,26,4,18,3
2016,9,1,18,2,5,1
2019,5,5,23,4,1,3
2017,7,1,9,2,12,7
2016,12,2,19,3,35,3
2020,8,6,28,3,29,10
2015,3,2,30,3,31,9
2016,2,2,22,3,25,1
2018,12,2,17,4,13,6
2020,8,2,10,3,45,5
2020,5,2,11,1,28,10
2018,8,6,17,3,70,5
2018,8,6,17,3,7,5
2016,5,7,7,3,25,6
2018,7,3,10,2,5,9
2020,11,3,10,4,7,6
2018,11,5,15,3,11,6
2020,4,7,25,1,18,10
2018,11,4,28,3,25,10
2018,7,1,22,1,5,5
2020,9,3,29,1,40,1
2017,5,2,8,1,5,8
2018,9,7,8,4,28,4
2020,5,4,20,3,9,10
2020,5,6,22,4,48,6
2016,9,7,3,4,10,5
2020,5,4,13,3,31,10
2018,11,5,22,2,5,9
2019,11,2,4,2,5,9
2016,12,5,8,3,52,1
2020,3,2,16,2,45,10
2017,9,4,20,1,23,9
2020,10,2,26,3,1,9
2019,4,1,21,4,20,7
2020,4,5,9,4,37,4
2019,5,3,14,2,5,9
2015,2,4,18,2,9,7
2018,4,6,13,1,58,9
2017,1,2,23,3,18,5
2020,3,4,18,3,37,9
2015,9,1,6,1,25,9
2019,6,7,1,2,7,9
2017,4,5,20,1,68,5
2017,4,2,3,3,5,1
2019,5,7,25,4,4,3
2019,7,2,29,2,18,10
2019,6,2,3,1,5,9
2018,9,1,9,3,15,10
2019,8,2,26,2,41,9
2015,7,2,27,4,12,6
2020,8,1,30,3,9,10
2017,3,1,19,2,69,1
2016,8,1,21,3,59,1
2019,11,4,13,2,9,9
2017,1,5,26,4,5,4
2020,3,4,11,2,27,10
2015,3,3,10,3,26,9
2015,3,7,21,4,17,4
2015,4,5,30,1,9,8
2017,5,3,16,4,18,6
2018,11,2,5,2,5,9
2016,3,3,1,2,36,4
2019,3,7,30,3,44,9
2016,4,6,15,4,5,4
2016,3,3,1,3,3,2
2015,4,6,10,4,18,8
2020,10,1,11,2,17,10
2017,1,4,25,4,53,6
2016,6,5,9,3,12,1
2016,11,2,21,3,9,3
2015,6,6,26,2,25,4
2015,11,7,21,2,51,5
2019,1,5,3,3,9,8
2015,7,3,7,4,3,1
2016,5,3,10,3,5,1
2018,11,7,24,4,4,3
2017,6,5,29,3,16,1
2015,8,7,15,2,25,7
2015,12,3,22,4,25,6
2015,10,6,30,2,19,9
2020,3,7,14,2,38,10
2015,2,2,16,1,66,8
2020,3,1,8,3,26,10
2015,4,3,21,2,30,1
2016,1,1,3,1,13,6
2016,12,2,26,3,39,6
2016,2,5,25,3,5,1
2016,11,1,13,1,11,4
2020,2,1,23,3,20,8
2018,8,1,19,3,9,10
2018,2,7,17,1,25,6
2017,6,4,7,2,28,1
2020,12,1,6,2,39,9
2018,12,2,17,3,4,6
2015,9,1,20,3,9,7
2020,9,3,15,3,1,10
2015,11,1,8,2,10,5
2017,6,7,3,4,30,6
2017,3,2,6,3,52,1
2020,3,2,9,3,18,10
2017,1,2,16,3,9,8
2015,10,2,26,3,19,9
2017,2,2,27,2,4,3
2020,6,7,13,2,30,7
2019,8,2,19,4,30,1
2015,3,3,10,2,15,1
2019,12,4,18,1,4,9
2015,4,3,7,3,71,7
2017,10,7,28,4,5,4
2020,6,7,13,2,31,10
2017,12,6,29,4,25,1
2017,7,5,13,4,59,5
2019,10,5,17,2,12,1
2018,8,4,15,2,47,6
2018,10,5,4,3,27,10
2017,5,3,2,4,25,6
2019,6,3,4,3,9,3
2020,5,7,23,4,12,1
2017,1,5,19,2,38,1
2018,7,1,8,1,5,5
2020,11,7,28,2,9,5
2015,9,2,14,4,41,4
2018,11,4,28,3,18,10
2015,8,4,19,2,38,4
2015,3,2,2,2,30,5
2016,11,6,25,3,18,1
2015,1,5,15,3,41,9
2015,11,1,15,2,9,6
2019,6,3,11,4,5,4
2015,12,3,1,1,12,7
2020,3,6,6,2,19,10
2015,4,1,12,3,1,1
2018,2,1,4,3,33,6
2015,5,4,20,4,30,1
2018,7,7,21,2,28,10
2020,3,5,19,3,6,10
2016,4,4,6,4,30,5
2018,5,6,25,1,35,9
2019,2,1,10,1,25,1
2017,9,3,26,2,19,10
2017,7,7,8,1,45,9
2018,3,3,13,4,48,6
2018,6,4,27,4,45,6
2020,3,1,8,3,9,10
2020,3,1,15,3,5,5
2016,3,4,16,4,19,6
2020,10,5,15,3,9,10
2019,6,7,1,4,54,3
2020,9,4,16,4,5,6
2017,11,6,17,3,55,6
2020,11,6,13,2,42,6
2016,6,4,29,2,5,1
2015,10,3,13,1,30,6
2020,6,6,26,3,4,10
2015,4,4,22,3,9,5
2015,9,4,23,2,23,7
2020,6,4,17,4,5,8
2020,11,2,30,1,40,10
2020,7,6,17,2,28,7
2020,3,5,12,3,31,10
2015,9,3,8,3,15,3
2020,8,2,10,2,45,10
2019,1,2,14,1,25,1
2020,2,1,9,1,30,6
2015,3,2,16,3,9,6
2016,5,2,9,3,2,5
2020,1,7,18,3,58,8
2018,3,3,27,2,53,1
2015,8,4,12,1,45,9
2018,10,5,25,2,5,9
2017,6,2,19,4,33,5
2017,6,6,16,1,12,5
2018,12,2,24,3,30,10
2016,9,1,18,2,42,7
2016,8,5,4,4,11,5
2019,6,5,20,2,36,9
2016,2,2,8,1,9,3
2017,7,7,1,2,19,7
2016,1,1,17,4,25,9
2015,1,5,1,4,4,3
2020,1,3,7,1,28,4
2015,12,6,25,3,33,1
2016,9,7,10,3,25,6
2016,12,4,14,4,5,4
2018,1,7,6,1,57,5
2016,12,2,12,3,54,6
2020,3,2,9,1,31,10
2017,6,4,14,3,64,1
2015,1,4,28,1,35,5
2020,8,7,1,2,34,10
2020,6,5,25,2,4,10
2019,1,3,15,1,5,1
2017,6,5,15,2,3,1
2018,3,6,16,3,40,7
2018,11,7,10,3,63,6
2018,8,5,23,2,44,10
2016,11,2,7,1,25,5
2020,3,7,7,4,18,10
2019,12,5,26,3,31,7
2015,8,7,22,3,5,8
2017,5,7,27,1,5,5
2016,7,5,7,3,5,9
2019,5,1,12,3,45,5
2017,11,6,10,2,29,1
2015,4,5,16,3,30,1
2018,7,3,10,3,25,4
2016,10,1,23,3,9,3
2015,2,7,14,4,10,8
2018,8,4,8,3,55,10
2015,5,2,25,2,12,1
2016,3,5,31,2,12,5
2019,11,1,3,2,24,9
2019,11,4,20,1,5,10
2019,12,3,10,1,1,1
2017,1,2,23,3,39,3
2016,12,7,3,2,15,7
2015,8,1,16,3,4,6
2020,5,7,23,2,25,10
2020,5,3,19,3,5,8
2018,11,1,18,3,62,10
2019,2,6,8,2,9,3
2018,8,6,10,3,26,10
2015,2,3,17,3,40,1
2016,9,2,26,2,1,9
2016,1,6,1,4,8,4
2019,7,4,3,1,40,9
2018,1,6,12,2,12,7
2017,3,6,24,3,7,5
2015,12,4,9,3,6,7
2019,9,4,18,1,58,5
2019,1,4,16,3,39,5
2016,7,6,1,3,59,1
2020,1,4,1,4,5,1
2019,2,7,2,4,39,6
2015,8,1,2,3,30,4
2016,8,4,31,2,30,9
2015,1,6,23,1,19,4
2018,12,1,23,2,12,6
2020,12,2,7,2,30,10
2016,1,1,24,3,5,8
2018,5,4,9,3,67,9
2015,3,5,5,3,28,5
2016,2,1,28,3,33,8
2015,3,1,8,4,21,1
2020,2,4,5,2,20,10
2015,11,6,6,3,10,4
2019,1,7,19,1,9,3
2015,7,3,7,1,5,8
2020,9,4,9,1,18,7
2016,5,4,4,3,59,1
2015,9,1,6,3,64,9
2017,7,1,16,1,12,5
2017,1,6,27,3,5,1
2017,8,1,13,3,19,1
2020,12,4,23,3,22,5
2015,7,7,18,3,48,6
2015,2,1,1,3,28,4
2018,9,3,25,2,25,10
2018,12,7,1,4,25,1
2016,12,6,23,3,4,7
2019,7,4,10,2,3,7
2018,5,4,9,3,35,6
2020,8,7,8,4,31,6
2015,9,3,29,4,11,3
2020,6,6,5,2,25,10
2017,5,1,14,2,11,1
2015,10,7,10,3,11,1
2018,10,2,1,3,41,8
2015,5,7,23,2,28,4
2015,10,2,26,2,40,9
2016,5,4,11,3,46,9
2019,9,5,5,2,62,7
2019,6,6,7,3,25,8
2016,4,6,29,3,32,4
2019,1,4,2,3,25,6
2019,3,1,31,3,35,7
2016,11,1,20,3,21,8
2019,7,4,24,2,5,9
2019,12,7,21,4,1,6
2015,6,3,16,2,39,2
2018,9,6,7,3,19,10
2020,10,2,19,3,5,6
2017,4,3,11,1,13,9
2015,5,1,24,1,2,5
2016,6,6,3,2,23,9
2020,9,5,24,1,5,9
2015,7,4,8,3,19,4
2018,6,7,9,4,38,3
2016,3,7,19,2,26,5
2019,12,2,2,1,1,7
2015,10,1,18,1,9,7
2020,7,1,12,3,13,8
2017,7,1,9,2,9,7
2015,12,1,20,3,18,5
2020,11,2,9,4,14,6
2017,8,1,20,1,4,6
2015,5,3,19,2,7,5
2018,3,3,27,1,9,6
2017,4,7,15,4,54,3
2016,11,4,23,2,3,4
2016,3,4,9,1,7,9
2020,9,3,1,3,41,9
2017,6,5,15,2,5,1
2016,5,4,18,2,32,1
2019,5,7,18,3,5,5
2019,1,1,6,2,25,9
2018,7,7,28,2,30,6
2017,5,1,14,2,44,3
2016,1,4,27,1,45,9
2016,10,1,16,1,64,1
2020,6,5,4,1,19,10
2017,2,3,14,1,5,9
2016,3,5,3,3,3,4
2018,6,7,23,2,55,4
2016,10,6,21,3,3,3
2015,5,6,29,3,32,1
2016,8,4,17,3,19,6
2020,10,6,16,2,3,10
2015,9,5,24,3,5,5
2015,3,2,2,1,69,6
2017,2,1,12,3,25,6
2020,5,1,24,2,18,7
2020,7,6,17,2,8,5
2020,12,3,8,1,59,10
2019,5,4,1,3,6,3
2020,12,7,5,2,18,10
2015,6,6,19,3,12,5
2017,4,3,18,4,45,6
2015,3,3,24,3,15,2
2016,5,3,24,4,35,3
2019,7,6,26,3,34,9
2019,1,5,10,1,13,6
2015,12,1,13,2,30,4
2016,6,6,17,1,52,1
2016,7,5,14,3,39,1
2017,2,6,10,3,5,1
2015,2,2,23,4,19,6
2020,4,2,13,2,35,10
2016,4,4,6,2,36,5
2016,1,1,24,4,23,9
2015,11,1,15,1,25,1
2016,1,4,13,3,38,9
2020,11,4,25,2,25,3
2017,9,7,16,4,23,5
2017,6,7,24,1,5,1
2016,5,1,22,4,43,9
2018,12,7,22,1,18,3
2020,8,6,14,3,1,10
2019,9,2,16,3,7,5
2016,5,4,18,2,30,4
2020,6,1,28,3,3,1
2016,4,1,10,1,40,3
2015,2,1,22,1,41,9
2017,6,7,17,3,26,7
2018,11,6,16,4,25,6
2018,2,3,13,2,35,7
2015,2,6,27,3,5,4
2020,5,1,10,3,12,7
2016,9,3,20,4,11,3
2015,11,5,19,4,28,4
2015,11,4,4,2,4,4
2016,9,7,24,2,28,5
2018,11,6,16,1,9,7
2020,6,2,22,2,19,10
2015,8,7,29,4,39,3
2018,7,5,26,3,30,1
2019,3,4,13,1,23,9
2020,12,7,19,1,9,10
2020,6,4,24,2,45,9
2018,7,3,3,4,9,7
2016,1,5,7,1,7,3
2018,7,4,25,2,62,10
2018,2,5,1,4,5,6
2017,8,1,6,1,45,6
2018,9,1,23,4,70,7
2016,7,5,21,2,57,1
2019,3,7,9,3,71,7
2018,4,6,6,4,5,8
2020,3,2,9,1,15,10
2016,7,6,29,4,36,4
2019,1,2,28,4,13,5
2018,11,1,18,4,18,7
2016,6,5,2,1,45,2
2016,5,2,2,3,9,1
2020,5,7,16,4,39,6
2016,7,5,21,4,12,1
2020,7,1,5,2,20,10
2016,4,6,8,1,55,4
2017,4,2,3,2,8,9
2018,3,6,30,3,1,1
2017,4,6,28,4,19,4
2016,4,1,17,4,9,3
2020,5,4,27,2,64,10
2015,4,2,13,2,30,4
2015,10,6,30,3,9,6
2019,12,7,28,3,5,1
2020,9,1,27,2,25,9
2019,8,4,14,2,25,9
2015,10,3,13,3,54,3
2017,11,6,10,2,48,8
2015,12,1,6,3,4,6
2018,6,5,14,1,30,8
2016,8,4,17,1,53,1
2019,12,7,28,4,30,6
2018,10,5,11,4,71,3
2018,11,4,28,3,9,10
2016,4,3,12,3,4,9
2015,1,6,23,3,20,1
2015,5,6,15,3,5,1
2020,3,6,6,3,15,10
2020,10,3,27,2,5,9
2017,12,1,10,3,5,3
2018,9,7,15,2,18,7
2019,7,3,9,3,4,7
2018,6,6,15,3,5,10
2019,10,7,12,3,18,10
2015,9,4,2,3,5,5
2020,10,5,1,2,5,5
2017,5,7,6,1,8,9
2019,6,2,17,2,5,9
2016,2,7,6,4,7,5
2019,7,4,17,2,23,9
2018,7,3,17,4,28,5
2016,8,3,23,3,4,4
2020,11,5,26,4,5,6
2018,12,7,22,3,37,10
2016,2,2,8,3,42,5
2019,4,2,22,1,12,1
2020,6,2,15,2,4,10
2020,4,1,12,2,44,7
2018,11,1,25,3,53,1
2017,4,2,17,3,52,1
2020,6,4,17,2,1,10
2015,2,1,22,3,12,5
2019,9,1,29,3,4,10
2020,2,5,27,1,9,4
2015,8,3,4,3,19,9
2018,3,7,10,3,25,1
2016,11,3,1,2,9,5
2015,3,4,25,4,15,3
2020,3,6,6,3,31,3
2020,1,7,25,1,4,7
2015,11,5,26,3,38,9
2020,6,1,21,3,4,6
2015,1,4,21,3,1,1
2015,6,2,15,3,1,1
2016,3,3,29,2,8,5
2019,9,5,12,2,30,9
2016,8,6,19,1,9,2
2015,7,4,8,4,9,3
2015,2,1,15,4,5,4
2016,1,6,8,1,6,5
2015,11,1,15,4,15,5
2016,4,1,24,4,8,5
2017,3,1,5,4,10,8
2017,8,1,27,3,56,6
2018,11,3,27,3,39,7
2020,1,7,18,3,55,3
2016,10,1,9,3,18,5
2020,6,7,6,2,1,10
2020,8,1,16,1,30,5
2019,7,4,24,3,16,1
2018,7,3,3,3,7,4
2017,11,4,22,1,1,1
2018,7,3,24,2,9,7
2017,4,2,10,2,9,8
2017,6,7,24,2,31,7
2018,8,5,2,3,21,10
2016,10,3,11,3,7,1
2020,5,4,20,1,23,10
2016,8,2,15,1,58,5
2017,2,5,2,2,19,5
2017,4,3,18,1,37,8
2017,6,7,3,2,25,9
2018,8,2,13,3,25,10
2015,8,1,16,2,28,9
2020,11,7,14,2,28,10
2015,2,3,24,3,32,1
2020,12,2,7,3,25,10
2015,4,6,24,1,4,1
2016,8,2,15,1,12,2
2018,5,1,6,1,23,10
2017,4,3,18,4,45,7
2020,2,3,4,3,33,1
2017,11,3,14,1,5,9
2016,5,6,27,4,55,6
2018,9,1,16,3,20,8
2020,7,1,19,2,54,7
2015,1,6,30,2,25,7
2019,3,3,5,2,5,1
2019,7,1,21,1,32,5
2017,1,2,23,2,1,6
2019,6,2,10,4,54,7
2015,3,3,10,2,45,9
2018,7,3,31,2,45,1
2015,3,3,31,3,67,2
2016,5,5,26,2,5,9
2020,5,7,16,2,18,10
2015,6,1,14,4,2,4
2016,5,6,20,3,19,1
2019,6,4,26,2,30,1
2018,7,2,30,4,5,5
2018,1,3,30,3,19,7
2020,9,6,4,2,54,10
2015,8,5,6,2,23,9
2019,6,2,24,1,25,1
2017,6,4,7,3,25,7
2017,3,5,23,1,45,1
2016,7,7,23,2,9,5
2017,3,7,4,2,4,3
2019,10,2,7,4,25,7
2020,7,5,16,3,9,10
2018,9,7,29,3,4,6
2020,4,6,24,2,25,10
2020,6,2,22,3,41,10
2020,11,2,30,3,18,10
2015,9,7,26,3,9,2
2017,4,3,11,3,43,7
2020,5,4,20,2,30,10
2015,12,7,12,1,53,7
2016,6,4,29,1,52,5
2018,9,5,6,2,19,9
2016,9,7,10,2,9,7
2015,6,3,9,3,28,1
2020,8,5,6,2,11,7
2015,7,7,18,3,26,9
2017,10,7,28,3,19,8
2018,11,4,28,3,28,10
2020,8,3,11,2,5,9
2018,7,5,5,3,23,5
2019,6,2,17,1,28,7
2016,5,3,31,2,19,1
2016,10,7,1,2,30,5
2020,6,2,8,2,5,9
2015,6,3,16,2,40,9
2018,12,7,1,1,28,5
2020,4,4,8,3,19,4
2019,5,7,4,2,1,10
2015,1,2,26,3,8,5
2015,1,1,18,4,9,3
2018,10,4,3,3,15,7
2015,10,6,9,1,9,2
2015,10,3,20,2,69,2
2019,5,3,21,2,5,9
2020,8,5,27,2,9,7
2017,11,2,27,3,7,1
2019,4,7,20,4,20,5
2020,3,6,6,2,33,10
2020,4,5,9,2,56,10
2018,11,3,20,3,41,10
2015,8,7,15,4,9,5
2019,2,3,12,3,26,7
2020,8,5,13,2,15,10
2015,9,7,26,1,19,2
2019,5,6,24,2,9,9
2020,9,1,20,4,18,10
2020,5,2,11,2,23,9
2019,6,2,17,3,44,7
2020,7,3,21,1,25,1
2016,11,1,27,3,9,4
2017,4,4,5,2,28,8
2016,8,2,22,4,31,3
2020,8,1,30,2,2,8
2015,11,1,15,2,10,1
2020,5,4,13,2,23,9
2020,8,7,29,4,9,7
2019,8,6,9,4,19,6
2015,9,6,4,1,5,9
2017,7,1,30,4,30,6
2015,11,7,28,3,15,5
2017,12,6,29,3,9,7
2019,11,3,5,4,25,6
2015,9,4,23,3,33,5
2019,11,7,9,1,24,9
2018,1,1,21,3,35,6
2015,5,1,3,2,21,5
2016,1,4,20,2,2,4
2015,10,1,11,3,26,1
2015,8,1,30,4,5,4
2019,6,6,7,3,4,7
2015,7,3,21,3,48,4
2017,5,5,18,4,14,6
2015,12,5,3,2,5,9
2020,7,7,25,3,5,1
2020,3,5,5,3,37,10
2020,3,5,5,1,12,10
2018,9,4,12,3,30,1
2020,11,2,2,1,23,9
2020,5,2,25,1,19,10
2020,8,1,30,1,51,10
2017,9,3,12,4,59,5
2017,5,7,20,3,25,4
2020,4,6,24,2,64,10
2016,11,1,27,3,18,9
2015,12,2,21,1,5,2
2019,1,7,19,2,9,6
2020,3,7,7,4,5,6
2015,8,6,28,3,50,9
2015,12,4,16,3,9,5
2017,9,3,26,3,58,8
2017,1,2,16,2,25,5
2017,1,4,18,3,28,1
2015,10,2,26,3,47,3
2015,8,1,2,4,55,4
2017,4,2,17,3,13,1
2017,8,7,5,1,40,5
2015,5,6,22,3,23,8
2017,10,5,19,3,5,5
2020,4,7,4,2,26,9
2020,9,5,3,1,39,10
2019,12,2,2,2,5,10
2019,10,1,27,4,25,6
2015,8,7,15,3,28,5
2016,2,1,7,4,4,5
2019,1,4,2,1,6,7
2015,10,1,4,4,30,8
2015,3,4,11,3,5,1
2016,3,7,12,4,32,4
2019,3,5,21,4,31,6
2016,7,2,18,3,5,4
2017,3,6,31,3,31,6
2015,3,7,7,4,30,4
2019,11,1,24,2,6,7
2015,1,2,5,2,9,7
2015,8,7,8,2,30,5
2019,9,1,22,2,4,9
2017,2,2,13,2,5,9
2020,3,7,28,2,35,10
2020,7,6,17,3,55,10
2017,2,5,2,3,40,5
2019,5,7,11,1,24,6
